"Player Name","Pos","Consensus","Andy","Jason","Mike"
"Jordan Reed WAS (4)","TE","117","104","166","91"
"Kyle Rudolph MIN (10)","TE","118","130","92","145"
"Tyler Lockett SEA (7)","WR","119","106","124","138"
"Matt Ryan ATL (8)","QB","120","151","126","93"
"Patrick Mahomes KC (12)","QB","121","168","111","94"
"Jared Goff LAR (12)","QB","122","152","122","101"
"Javorius Allen BAL (10)","RB","123","147","83","146"
"Ryan Grant IND (9)","WR","123","79","135","162"
"John Brown BAL (10)","WR","125","110","101","171"
"Calvin Ridley ATL (8)","WR","125","70","154","158"
"Devante Parker MIA (11)","WR","127","93","97","193"
"Devontae Booker DEN (10)","RB","128","85","112","188"
"Marcus Mariota TEN (8)","QB","129","170","117","99"
"Giovani Bernard CIN (9)","RB","130","149","106","135"
"Alex Smith WAS (4)","QB","131","173","121","102"
"Mohamed Sanu ATL (8)","WR","132","146","163","88"
"Jimmy Garoppolo SF (11)","QB","133","176","128","98"
"Paul Richardson WAS (4)","WR","134","107","129","168"
"Alfred Morris SF (11)","RB","135","200","120","85"
"Cole Beasley DAL (8)","WR","135","77","200","128"
"Dak Prescott DAL (8)","QB","137","161","139","106"
"Josh Doctson WAS (4)","WR","138","114","145","151"
"Tyrell Williams LAC (8)","WR","139","162","131","119"
"Ted Ginn Jr NO (6)","WR","140","136","200","83"
"Theo Riddick DET (6)","RB","141","116","138","166"
"Quincy Enunwa NYJ (11)","WR","142","200","113","110"
"Andy Dalton CIN (9)","QB","143","181","127","125"
"Case Keenum DEN (10)","QB","143","175","140","118"
"Latavius Murray MIN (10)","RB","145","91","147","197"
"Mike Williams LAC (8)","WR","145","101","152","182"
"Derek Carr OAK (7)","QB","147","160","146","132"
"Eli Manning NYG (9)","QB","147","180","136","122"
"Blake Bortles JAC (9)","QB","149","183","130","126"
"Corey Clement PHI (9)","RB","150","121","195","124"
"Jack Doyle IND (9)","TE","151","133","193","123"
"David Njoku CLE (11)","TE","152","111","187","155"
"Ronald Jones II TB (5)","RB","153","140","133","181"
"Jermaine Kearse NYJ (11)","WR","154","129","155","172"
"Terrance Williams DAL (8)","WR","155","83","167","207"
"Geronimo Allison GB (7)","WR","156","137","173","149"
"Ryan Tannehill MIA (11)","QB","157","182","141","137"
"Frank Gore MIA (11)","RB","158","164","144","154"
"Mike Wallace PHI (9)","WR","159","127","171","165"
