"Player Name","Pos","Consensus","Andy","Jason","Mike"
"Dak Prescott DAL (8)","QB","116","109","139","101"
"Ty Montgomery GB (7)","RB","117","143","60","153"
"Bilal Powell NYJ (11)","RB","118","136","105","118"
"Andy Dalton CIN (9)","QB","119","125","131","117"
"Marqise Lee JAC (9)","WR","119","94","173","106"
"Case Keenum DEN (10)","QB","121","119","144","111"
"Devontae Booker DEN (10)","RB","122","105","106","165"
"Giovani Bernard CIN (9)","RB","123","182","123","73"
"Eli Manning NYG (9)","QB","124","124","142","113"
"Frank Gore MIA (11)","RB","125","166","108","109"
"Trey Burton CHI (5)","TE","126","169","114","108"
"Donte Moncrief JAC (9)","WR","127","65","156","171"
"Paul Richardson WAS (4)","WR","128","114","110","170"
"Josh Doctson WAS (4)","WR","129","122","119","154"
"Ryan Tannehill MIA (11)","QB","130","127","136","133"
"Blake Bortles JAC (9)","QB","131","144","134","119"
"Matt Breida SF (11)","RB","132","152","107","142"
"Julian Edelman NE (11)","WR","133","139","152","115"
"Tyler Lockett SEA (7)","WR","134","138","120","149"
"Derek Carr OAK (7)","QB","135","108","149","151"
"John Brown BAL (10)","WR","136","147","96","168"
"Nick Chubb CLE (11)","RB","137","131","146","137"
"Jordy Nelson OAK (7)","WR","138","121","143","152"
"Ted Ginn Jr NO (6)","WR","139","135","197","88"
"Mitch Trubisky CHI (5)","QB","140","146","151","126"
"Kyle Rudolph MIN (10)","TE","140","184","94","145"
"Quincy Enunwa NYJ (11)","WR","142","200","103","122"
"Doug Martin OAK (7)","RB","143","178","113","138"
"Chris Thompson WAS (4)","RB","144","156","93","183"
"Duke Johnson CLE (11)","RB","145","133","158","148"
"Dede Westbrook JAC (9)","WR","146","183","104","159"
"Kenneth Dixon BAL (10)","RB","147","137","199","112"
"John Ross CIN (9)","WR","148","200","100","150"
"Delanie Walker TEN (8)","TE","149","170","160","123"
"Mohamed Sanu ATL (8)","WR","150","171","153","131"
"Ryan Grant IND (9)","WR","150","151","128","176"
"Calvin Ridley ATL (8)","WR","150","116","162","177"
"Sam Bradford ARI (9)","QB","153","123","200","134"
"Jermaine Kearse NYJ (11)","WR","154","150","147","172"
"Jameis Winston TB (5)","QB","155","158","169","143"
"Geronimo Allison GB (7)","WR","156","154","164","160"
"Cole Beasley DAL (8)","WR","157","128","200","155"
"Terrance Williams DAL (8)","WR","158","100","180","204"
"Albert Wilson MIA (11)","WR","159","164","148","173"
"Jordan Reed WAS (4)","TE","160","185","178","125"
"Terrelle Pryor NYJ (11)","WR","161","113","184","192"
"Martavis Bryant OAK (7)","WR","162","126","200","164"
"Chris Ivory BUF (11)","RB","163","200","167","127"
"Jared Cook OAK (7)","TE","164","200","140","156"
"TJ Yeldon JAC (9)","RB","165","200","141","157"
